s,a,t,Stocks Bought,Stocks Sold
Health,16,6,0.0,0.0
Health,17,1,0.0,0.0
Health,17,2,0.0,0.0
Health,17,3,0.0,0.0
Health,17,4,0.0,0.0
Health,17,5,0.0,0.0
Health,17,6,0.0,0.0
Health,18,1,0.0,0.0
Health,18,2,0.0,0.0
Health,18,3,0.0,0.0
Health,18,4,0.0,0.0
Health,18,5,0.0,0.0
Health,18,6,0.0,0.0
Health,19,1,0.0,0.0
Health,19,2,0.0,0.0
Health,19,3,0.0,0.0
Health,19,4,0.0,0.0
Health,19,5,0.0,0.0
Health,19,6,0.0,0.0
Health,20,1,0.0,0.0
Health,20,2,15.0,0.0
Health,20,3,0.0,15.0
Health,20,4,0.0,0.0
Health,20,5,0.0,0.0
Health,20,6,0.0,0.0
Health,21,1,0.0,0.0
Health,21,2,0.0,0.0
Health,21,3,0.0,0.0
Health,21,4,0.0,0.0
Health,21,5,0.0,0.0
Health,21,6,0.0,0.0
Health,22,1,0.0,0.0
Health,22,2,0.0,0.0
Health,22,3,0.0,0.0
Health,22,4,0.0,0.0
Health,22,5,0.0,0.0
Health,22,6,0.0,0.0
Health,23,1,0.0,0.0
Health,23,2,0.0,0.0
Health,23,3,0.0,0.0
Health,23,4,0.0,0.0
Health,23,5,0.0,0.0
Health,23,6,0.0,0.0
Health,24,1,0.0,0.0
Health,24,2,0.0,0.0
Health,24,3,0.0,0.0
Health,24,4,0.0,0.0
Health,24,5,0.0,0.0
Health,24,6,0.0,0.0
Health,25,1,0.0,0.0
Health,25,2,0.0,0.0
Health,25,3,0.0,0.0
Health,25,4,0.0,0.0
Health,25,5,0.0,0.0
Health,25,6,0.0,0.0
Health,26,1,0.0,0.0
Health,26,2,0.0,0.0
Health,26,3,0.0,0.0
Health,26,4,0.0,0.0
Health,26,5,0.0,0.0
Health,26,6,0.0,0.0
Health,27,1,0.0,0.0
Health,27,2,0.0,0.0
Health,27,3,0.0,0.0
Health,27,4,0.0,0.0
Health,27,5,0.0,0.0
Health,27,6,0.0,0.0
Health,28,1,0.0,0.0
Health,28,2,0.0,0.0
Health,28,3,0.0,0.0
Health,28,4,0.0,0.0
Health,28,5,0.0,0.0
Health,28,6,0.0,0.0
Health,29,1,0.0,0.0
Health,29,2,0.0,0.0
Health,29,3,0.0,0.0
Health,29,4,0.0,0.0
Health,29,5,0.0,0.0
Health,29,6,0.0,0.0
Banking,1,1,0.0,0.0
Banking,1,2,0.0,0.0
Banking,1,3,0.0,0.0
Banking,1,4,0.0,0.0
Banking,1,5,0.0,0.0
Banking,1,6,0.0,0.0
Banking,2,1,0.0,0.0
Banking,2,2,0.0,0.0
Banking,2,3,0.0,0.0
Banking,2,4,0.0,0.0
Banking,2,5,0.0,0.0
Banking,2,6,0.0,0.0
Banking,3,1,0.0,0.0
Banking,3,2,0.0,0.0
Banking,3,3,0.0,0.0
Banking,3,4,0.0,0.0
Banking,3,5,0.0,0.0
Banking,3,6,0.0,0.0
Banking,4,1,0.0,0.0
Banking,4,2,0.0,0.0
Banking,4,3,0.0,0.0
Banking,4,4,0.0,0.0
Banking,4,5,0.0,0.0
Banking,4,6,0.0,0.0
Banking,5,1,0.0,0.0
Banking,5,2,0.0,0.0
Banking,5,3,0.0,0.0
Banking,5,4,0.0,0.0
Banking,5,5,0.0,0.0
Banking,5,6,0.0,0.0
Banking,6,1,0.0,0.0
Banking,6,2,0.0,0.0
Banking,6,3,0.0,0.0
Banking,6,4,0.0,0.0
Banking,6,5,0.0,0.0
Banking,6,6,0.0,0.0
Banking,7,1,0.0,0.0
Banking,7,2,0.0,0.0
Banking,7,3,0.0,0.0
Banking,7,4,0.0,0.0
Banking,7,5,0.0,0.0
Banking,7,6,0.0,0.0
Banking,8,1,0.0,0.0
Banking,8,2,3.0,0.0
Banking,8,3,0.0,3.0
Banking,8,4,38.0,0.0
Banking,8,5,3.0,0.0
Banking,8,6,0.0,41.0
Banking,9,1,0.0,0.0
Banking,9,2,0.0,0.0
Banking,9,3,0.0,0.0
Banking,9,4,0.0,0.0
Banking,9,5,0.0,0.0
Banking,9,6,0.0,0.0
Banking,10,1,0.0,0.0
Banking,10,2,0.0,0.0
Banking,10,3,1.0,0.0
Banking,10,4,0.0,1.0
Banking,10,5,3.0,0.0
Banking,10,6,0.0,3.0
Banking,11,1,0.0,0.0
Banking,11,2,0.0,0.0
Banking,11,3,0.0,0.0
Banking,11,4,0.0,0.0
Banking,11,5,0.0,0.0
Banking,11,6,0.0,0.0
Banking,12,1,0.0,0.0
Banking,12,2,0.0,0.0
Banking,12,3,0.0,0.0
Banking,12,4,0.0,0.0
Banking,12,5,0.0,0.0
Banking,12,6,0.0,0.0
Banking,13,1,0.0,0.0
Banking,13,2,0.0,0.0
Banking,13,3,0.0,0.0
Banking,13,4,0.0,0.0
Banking,13,5,0.0,0.0
Banking,13,6,0.0,0.0
Banking,14,1,0.0,0.0
Banking,14,2,0.0,0.0
Banking,14,3,0.0,0.0
Banking,14,4,0.0,0.0
Banking,14,5,0.0,0.0
Banking,14,6,0.0,0.0
Banking,15,1,0.0,0.0
Banking,15,2,0.0,0.0
Banking,15,3,0.0,0.0
Banking,15,4,0.0,0.0
Banking,15,5,0.0,0.0
Banking,15,6,0.0,0.0
Banking,16,1,0.0,0.0
Banking,16,2,50.0,0.0
Banking,16,3,2.0,0.0
Banking,16,4,6.0,0.0
Banking,16,5,5.0,0.0
Banking,16,6,0.0,63.0
Banking,17,1,0.0,0.0
Banking,17,2,0.0,0.0
Banking,17,3,57.0,0.0
Banking,17,4,8.0,0.0
Banking,17,5,6.0,0.0
Banking,17,6,0.0,71.0
Banking,18,1,0.0,0.0
Banking,18,2,0.0,0.0
Banking,18,3,0.0,0.0
Banking,18,4,1.0,0.0
Banking,18,5,4.0,0.0
Banking,18,6,0.0,5.0
Banking,19,1,0.0,0.0
Banking,19,2,0.0,0.0
Banking,19,3,0.0,0.0
Banking,19,4,0.0,0.0
Banking,19,5,0.0,0.0
Banking,19,6,0.0,0.0
Banking,20,1,0.0,0.0
Banking,20,2,0.0,0.0
Banking,20,3,0.0,0.0
Banking,20,4,0.0,0.0
Banking,20,5,0.0,0.0
Banking,20,6,0.0,0.0
Banking,21,1,0.0,0.0
Banking,21,2,0.0,0.0
Banking,21,3,0.0,0.0
Banking,21,4,0.0,0.0
Banking,21,5,0.0,0.0
Banking,21,6,0.0,0.0
Banking,22,1,0.0,0.0
Banking,22,2,0.0,0.0
Banking,22,3,0.0,0.0
Banking,22,4,0.0,0.0
Banking,22,5,0.0,0.0
Banking,22,6,0.0,0.0
Banking,23,1,0.0,0.0
Banking,23,2,0.0,0.0
Banking,23,3,0.0,0.0
Banking,23,4,0.0,0.0
Banking,23,5,0.0,0.0
Banking,23,6,0.0,0.0
Banking,24,1,0.0,0.0
Banking,24,2,0.0,0.0
Banking,24,3,0.0,0.0
Banking,24,4,0.0,0.0
Banking,24,5,0.0,0.0
Banking,24,6,0.0,0.0
Banking,25,1,0.0,0.0
Banking,25,2,0.0,0.0
Banking,25,3,0.0,0.0
Banking,25,4,0.0,0.0
Banking,25,5,0.0,0.0
Banking,25,6,0.0,0.0
Banking,26,1,0.0,0.0
Banking,26,2,0.0,0.0
Banking,26,3,0.0,0.0
Banking,26,4,0.0,0.0
Banking,26,5,0.0,0.0
Banking,26,6,0.0,0.0
Banking,27,1,0.0,0.0
Banking,27,2,0.0,0.0
Banking,27,3,0.0,0.0
Banking,27,4,0.0,0.0
Banking,27,5,0.0,0.0
Banking,27,6,0.0,0.0
Banking,28,1,0.0,0.0
Banking,28,2,0.0,0.0
Banking,28,3,0.0,0.0
Banking,28,4,0.0,0.0
Banking,28,5,0.0,0.0
Banking,28,6,0.0,0.0
Banking,29,1,0.0,0.0
Banking,29,2,0.0,0.0
Banking,29,3,0.0,0.0
Banking,29,4,0.0,0.0
Banking,29,5,0.0,0.0
Banking,29,6,0.0,0.0
RenewableEnergies,1,1,0.0,0.0
RenewableEnergies,1,2,0.0,0.0
RenewableEnergies,1,3,0.0,0.0
RenewableEnergies,1,4,0.0,0.0
RenewableEnergies,1,5,0.0,0.0
RenewableEnergies,1,6,0.0,0.0
RenewableEnergies,2,1,0.0,0.0
RenewableEnergies,2,2,0.0,0.0
RenewableEnergies,2,3,0.0,0.0
RenewableEnergies,2,4,0.0,0.0
RenewableEnergies,2,5,0.0,0.0
RenewableEnergies,2,6,0.0,0.0
RenewableEnergies,3,1,0.0,0.0
RenewableEnergies,3,2,0.0,0.0
RenewableEnergies,3,3,0.0,0.0
RenewableEnergies,3,4,0.0,0.0
RenewableEnergies,3,5,0.0,0.0
RenewableEnergies,3,6,0.0,0.0
RenewableEnergies,4,1,0.0,0.0
RenewableEnergies,4,2,0.0,0.0
RenewableEnergies,4,3,0.0,0.0
RenewableEnergies,4,4,0.0,0.0
RenewableEnergies,4,5,0.0,0.0
RenewableEnergies,4,6,0.0,0.0
RenewableEnergies,5,1,0.0,0.0
RenewableEnergies,5,2,0.0,0.0
RenewableEnergies,5,3,0.0,0.0
RenewableEnergies,5,4,0.0,0.0
RenewableEnergies,5,5,0.0,0.0
RenewableEnergies,5,6,0.0,0.0
RenewableEnergies,6,1,0.0,0.0
RenewableEnergies,6,2,0.0,0.0
RenewableEnergies,6,3,0.0,0.0
RenewableEnergies,6,4,0.0,0.0
RenewableEnergies,6,5,0.0,0.0
RenewableEnergies,6,6,0.0,0.0
RenewableEnergies,7,1,0.0,0.0
RenewableEnergies,7,2,0.0,0.0
RenewableEnergies,7,3,0.0,0.0
RenewableEnergies,7,4,0.0,0.0
RenewableEnergies,7,5,0.0,0.0
RenewableEnergies,7,6,0.0,0.0
RenewableEnergies,8,1,0.0,0.0
RenewableEnergies,8,2,0.0,0.0
RenewableEnergies,8,3,0.0,0.0
RenewableEnergies,8,4,0.0,0.0
RenewableEnergies,8,5,0.0,0.0
RenewableEnergies,8,6,0.0,0.0
RenewableEnergies,9,1,0.0,0.0
RenewableEnergies,9,2,0.0,0.0
RenewableEnergies,9,3,0.0,0.0
RenewableEnergies,9,4,0.0,0.0
RenewableEnergies,9,5,0.0,0.0
RenewableEnergies,9,6,0.0,0.0
RenewableEnergies,10,1,0.0,0.0
RenewableEnergies,10,2,0.0,0.0
RenewableEnergies,10,3,0.0,0.0
RenewableEnergies,10,4,0.0,0.0
RenewableEnergies,10,5,0.0,0.0
RenewableEnergies,10,6,0.0,0.0
RenewableEnergies,11,1,0.0,0.0
RenewableEnergies,11,2,0.0,0.0
RenewableEnergies,11,3,0.0,0.0
RenewableEnergies,11,4,0.0,0.0
RenewableEnergies,11,5,0.0,0.0
RenewableEnergies,11,6,0.0,0.0
RenewableEnergies,12,1,0.0,0.0
RenewableEnergies,12,2,0.0,0.0
RenewableEnergies,12,3,0.0,0.0
RenewableEnergies,12,4,0.0,0.0
RenewableEnergies,12,5,0.0,0.0
RenewableEnergies,12,6,0.0,0.0
RenewableEnergies,13,1,0.0,0.0
RenewableEnergies,13,2,0.0,0.0
RenewableEnergies,13,3,0.0,0.0
RenewableEnergies,13,4,0.0,0.0
RenewableEnergies,13,5,0.0,0.0
RenewableEnergies,13,6,0.0,0.0
RenewableEnergies,14,1,0.0,0.0
RenewableEnergies,14,2,0.0,0.0
RenewableEnergies,14,3,0.0,0.0
RenewableEnergies,14,4,0.0,0.0
RenewableEnergies,14,5,0.0,0.0
RenewableEnergies,14,6,0.0,0.0
RenewableEnergies,15,1,0.0,0.0
RenewableEnergies,15,2,0.0,0.0
RenewableEnergies,15,3,0.0,0.0
RenewableEnergies,15,4,0.0,0.0
RenewableEnergies,15,5,0.0,0.0
RenewableEnergies,15,6,0.0,0.0
RenewableEnergies,16,1,0.0,0.0
RenewableEnergies,16,2,0.0,0.0
RenewableEnergies,16,3,0.0,0.0
RenewableEnergies,16,4,0.0,0.0
RenewableEnergies,16,5,0.0,0.0
RenewableEnergies,16,6,0.0,0.0
RenewableEnergies,17,1,0.0,0.0
RenewableEnergies,17,2,0.0,0.0
RenewableEnergies,17,3,0.0,0.0
RenewableEnergies,17,4,0.0,0.0
RenewableEnergies,17,5,0.0,0.0
RenewableEnergies,17,6,0.0,0.0
RenewableEnergies,18,1,0.0,0.0
RenewableEnergies,18,2,0.0,0.0
RenewableEnergies,18,3,0.0,0.0
RenewableEnergies,18,4,0.0,0.0
RenewableEnergies,18,5,0.0,0.0
RenewableEnergies,18,6,0.0,0.0
RenewableEnergies,19,1,0.0,0.0
RenewableEnergies,19,2,0.0,0.0
RenewableEnergies,19,3,0.0,0.0
RenewableEnergies,19,4,0.0,0.0
RenewableEnergies,19,5,0.0,0.0
RenewableEnergies,19,6,0.0,0.0
RenewableEnergies,20,1,0.0,0.0
RenewableEnergies,20,2,0.0,0.0
RenewableEnergies,20,3,0.0,0.0
RenewableEnergies,20,4,0.0,0.0
RenewableEnergies,20,5,0.0,0.0
RenewableEnergies,20,6,0.0,0.0
RenewableEnergies,21,1,0.0,0.0
RenewableEnergies,21,2,0.0,0.0
RenewableEnergies,21,3,0.0,0.0
RenewableEnergies,21,4,0.0,0.0
RenewableEnergies,21,5,0.0,0.0
RenewableEnergies,21,6,0.0,0.0
RenewableEnergies,22,1,0.0,0.0
RenewableEnergies,22,2,0.0,0.0
RenewableEnergies,22,3,0.0,0.0
RenewableEnergies,22,4,0.0,0.0
RenewableEnergies,22,5,0.0,0.0
RenewableEnergies,22,6,0.0,0.0
RenewableEnergies,23,1,0.0,0.0
RenewableEnergies,23,2,0.0,0.0
RenewableEnergies,23,3,0.0,0.0
RenewableEnergies,23,4,0.0,0.0
RenewableEnergies,23,5,0.0,0.0
RenewableEnergies,23,6,0.0,0.0
RenewableEnergies,24,1,0.0,0.0
RenewableEnergies,24,2,0.0,0.0
RenewableEnergies,24,3,0.0,0.0
RenewableEnergies,24,4,0.0,0.0
RenewableEnergies,24,5,0.0,0.0
RenewableEnergies,24,6,0.0,0.0
RenewableEnergies,25,1,0.0,0.0
RenewableEnergies,25,2,0.0,0.0
RenewableEnergies,25,3,0.0,0.0
RenewableEnergies,25,4,0.0,0.0
RenewableEnergies,25,5,0.0,0.0
RenewableEnergies,25,6,0.0,0.0
RenewableEnergies,26,1,0.0,0.0
RenewableEnergies,26,2,0.0,0.0
RenewableEnergies,26,3,0.0,0.0
RenewableEnergies,26,4,0.0,0.0
RenewableEnergies,26,5,0.0,0.0
RenewableEnergies,26,6,0.0,0.0
RenewableEnergies,27,1,0.0,0.0
RenewableEnergies,27,2,0.0,0.0
RenewableEnergies,27,3,0.0,0.0
RenewableEnergies,27,4,0.0,0.0
RenewableEnergies,27,5,0.0,0.0
RenewableEnergies,27,6,0.0,0.0
RenewableEnergies,28,1,0.0,0.0
RenewableEnergies,28,2,0.0,0.0
RenewableEnergies,28,3,0.0,0.0
RenewableEnergies,28,4,0.0,0.0
RenewableEnergies,28,5,0.0,0.0
RenewableEnergies,28,6,0.0,0.0
RenewableEnergies,29,1,0.0,0.0
RenewableEnergies,29,2,0.0,0.0
RenewableEnergies,29,3,0.0,0.0
RenewableEnergies,29,4,0.0,0.0
RenewableEnergies,29,5,0.0,0.0
RenewableEnergies,29,6,0.0,0.0
